ID,AI Model Categories,AI Model,Area of Construction
112,No Specific AI Model / Review Studies,Not applicable,Collaboration and Knowledge Management
113,NLP for Documents,"RoBERTa, BERT, Word2Vec, TextRank, LexRank, XGBoost, Random Forest, SVM, KNN",Collaboration and Knowledge Management
114,Traditional ML for Prediction,"XGBoost, DNN, KNN",Quality Control and Inspection
115,Traditional ML for Prediction,BPNN,Cost Estimation and Financial Management
116,Optimization for Design,"PDDL planners (POPF, LPG)",Advanced Manufacturing and Robotics
117,Graph-Based BIM,"GNN, Simulated Annealing, KNN",Project Planning and Scheduling
118,Deep Learning for Visual Recognition,"ViT-base, ResNet-101, DeepLabv3+, U-Net, SAM (Segment Anything Model)",Sustainability and Environmental Impact
119,No Specific AI Model / Review Studies,Not applicable,BIM and Digital Twins
120,Traditional ML for Prediction,"Extra Trees, Random Forest",Cost Estimation and Financial Management
121,Traditional ML for Prediction,"XGBoost, Histogram-based Gradient Boosting, Gradient Boosting, Random Forest, Decision Tree, ANN, CNN",Design Automation and Optimization
122,Deep Learning for Visual Recognition,CNN,BIM and Digital Twins
123,NLP for Documents,"GPT-3.5, ChatGPT",Safety and Risk Management
124,Traditional ML for Prediction,"Genetic Algorithm, PSO, Gradient Boosting, Random Forest, DNN, Multivariate Regression",Specialized Engineering Analysis
125,NLP for Documents,"RoBERTa, BERT, BiLSTM, RNN",BIM and Digital Twins
126,Sensor/IoT Integration,"CX-GRU, LSTM, XGBoost, SVR, MLP",Geotechnical and Underground Construction
127,Traditional ML for Prediction,"BPNN, MLP, ANN, Multiple Linear Regression",Specialized Engineering Analysis
128,Deep Learning for Visual Recognition,"mSRCNN, SRCNN, FSRCNN, ESPCN",Geotechnical and Underground Construction
129,No Specific AI Model / Review Studies,Not applicable,Collaboration and Knowledge Management
130,No Specific AI Model / Review Studies,Not applicable,Sustainability and Environmental Impact
131,No Specific AI Model / Review Studies,Not applicable,Safety and Risk Management
132,No Specific AI Model / Review Studies,Not applicable,Collaboration and Knowledge Management
133,No Specific AI Model / Review Studies,Not applicable,Collaboration and Knowledge Management
134,Traditional ML for Prediction,"LM-ANN, BPNN",Quality Control and Inspection
135,NLP for Documents,"GATE (text engineering), POS tagging, NER",Collaboration and Knowledge Management
136,Optimization for Design,"ChatGPT-4, PPO, DRL, DIL (Deep Imitation Learning), GAIL, Behavioral Cloning, PointNet++",Advanced Manufacturing and Robotics
137,No Specific AI Model / Review Studies,Not applicable,Geotechnical and Underground Construction
138,Hybrid Approaches,"Genetic Algorithm, ANFIS, Neuro-fuzzy",Design Automation and Optimization
139,No Specific AI Model / Review Studies,Not applicable,Collaboration and Knowledge Management
140,Generative AI Emergence,"Stable Diffusion 2.1, ControlNet, DALL-E 2, LayoutGPT, Holodeck, T5, CLIP",Design Automation and Optimization
141,Deep Learning for Visual Recognition,"ResNet-152, ResNet-101, DenseNet-161, LSTM, CNN",Safety and Risk Management
142,Deep Learning for Visual Recognition,"ResNet, VGG-16, Inception-ResNet",Advanced Manufacturing and Robotics
143,Optimization for Design,"LSTM, DQN, TD3, DDPG",Geotechnical and Underground Construction
144,Deep Learning for Visual Recognition,"Faster R-CNN, RT-DETR, DETR, CenterNet, YOLOv5, YOLOv7, YOLOv8, YOLOX, ViTDet, StyleGAN3",Advanced Manufacturing and Robotics
145,Traditional ML for Prediction,"Hoeffding Tree, ROSE (ensemble)",Design Automation and Optimization
146,Graph-Based BIM,"Mask2Former, GATv2, GAT, GCN, GNN, ASAP pooling, SAGPooling",Cost Estimation and Financial Management
147,No Specific AI Model / Review Studies,Not applicable,Design Automation and Optimization
148,NLP for Documents,"CoGAN, GAN, GPT-4, BERT, Ollama, Transformer-XL, Sentence Transformers, KGQA, BiGRU, NSGA-II, Genetic Algorithm, Reinforcement Learning, Random Forest",Design Automation and Optimization
